YEAR,MONTH,DATE,HOUR,MINUTES,SECONDS,NUMBER
2019,7,25,14,22,0,1
2019,7,25,14,23,0,1
2019,7,25,14,24,0,1
2019,7,25,14,25,0,0
2019,7,25,14,26,0,1
2019,7,25,14,27,0,1
2019,7,25,14,28,0,1
2019,7,25,14,29,0,1
2019,7,25,14,30,0,1
2019,7,25,14,31,0,1
2019,7,25,14,32,0,0
2019,7,25,14,33,0,1
2019,7,25,14,34,0,1
2019,7,25,14,35,0,1
2019,7,25,14,36,0,1
2019,7,25,14,37,0,1
2019,7,25,14,38,0,1
2019,7,25,14,39,0,0
2019,7,25,14,40,0,0
2019,7,25,14,41,0,0
2019,7,25,14,42,0,1
2019,7,25,14,43,0,1
2019,7,25,14,44,0,1
