YEAR,MONTH,DATE,HOUR,MINUTES,SECONDS,NUMBER
2019,7,25,14,21,49,0
2019,7,25,14,21,51,0
2019,7,25,14,21,52,0
2019,7,25,14,21,53,0
2019,7,25,14,21,54,0
2019,7,25,14,21,55,1
2019,7,25,14,21,56,0
2019,7,25,14,21,57,1
2019,7,25,14,21,58,1
2019,7,25,14,21,59,1
2019,7,25,14,22,0,1
2019,7,25,14,22,1,1
2019,7,25,14,22,2,1
2019,7,25,14,22,3,1
2019,7,25,14,22,4,1
2019,7,25,14,22,5,1
2019,7,25,14,22,6,1
2019,7,25,14,22,7,1
2019,7,25,14,22,8,1
2019,7,25,14,22,9,1
2019,7,25,14,22,10,1
2019,7,25,14,22,11,1
2019,7,25,14,22,12,0
2019,7,25,14,22,13,0
2019,7,25,14,22,13,1
2019,7,25,14,22,14,0
2019,7,25,14,22,15,1
2019,7,25,14,22,16,0
2019,7,25,14,22,17,0
2019,7,25,14,22,18,1
2019,7,25,14,22,19,1
2019,7,25,14,22,20,1
2019,7,25,14,22,21,1
2019,7,25,14,22,22,1
2019,7,25,14,22,23,1
2019,7,25,14,22,24,1
2019,7,25,14,22,25,1
2019,7,25,14,22,26,1
2019,7,25,14,22,27,0
2019,7,25,14,22,28,0
2019,7,25,14,22,29,0
2019,7,25,14,22,30,0
2019,7,25,14,22,31,0
2019,7,25,14,22,31,1
2019,7,25,14,22,32,1
2019,7,25,14,22,33,1
2019,7,25,14,22,34,1
2019,7,25,14,22,35,1
2019,7,25,14,22,36,1
2019,7,25,14,22,37,1
2019,7,25,14,22,38,0
2019,7,25,14,22,39,0
2019,7,25,14,22,40,0
2019,7,25,14,22,41,0
2019,7,25,14,22,42,0
2019,7,25,14,22,43,0
2019,7,25,14,22,44,0
2019,7,25,14,22,45,1
2019,7,25,14,22,46,1
2019,7,25,14,22,47,1
2019,7,25,14,22,48,1
2019,7,25,14,22,49,1
2019,7,25,14,22,50,1
2019,7,25,14,22,51,1
2019,7,25,14,22,52,1
2019,7,25,14,22,53,1
2019,7,25,14,22,54,1
2019,7,25,14,22,55,1
2019,7,25,14,22,56,1
2019,7,25,14,22,57,1
2019,7,25,14,22,58,1
2019,7,25,14,22,59,1
2019,7,25,14,23,0,1
2019,7,25,14,23,1,1
2019,7,25,14,23,2,1
2019,7,25,14,23,2,1
2019,7,25,14,23,3,1
2019,7,25,14,23,4,0
2019,7,25,14,23,5,1
2019,7,25,14,23,6,1
2019,7,25,14,23,7,1
2019,7,25,14,23,8,0
2019,7,25,14,23,9,1
2019,7,25,14,23,10,0
2019,7,25,14,23,11,0
2019,7,25,14,23,12,0
2019,7,25,14,23,13,0
2019,7,25,14,23,14,1
2019,7,25,14,23,15,1
2019,7,25,14,23,16,1
2019,7,25,14,23,17,1
2019,7,25,14,23,18,1
2019,7,25,14,23,19,1
2019,7,25,14,23,20,1
2019,7,25,14,23,21,1
2019,7,25,14,23,22,0
2019,7,25,14,23,23,1
2019,7,25,14,23,23,1
2019,7,25,14,23,25,1
2019,7,25,14,23,25,0
2019,7,25,14,23,26,1
2019,7,25,14,23,27,0
2019,7,25,14,23,28,1
2019,7,25,14,23,29,1
2019,7,25,14,23,30,1
2019,7,25,14,23,31,2
2019,7,25,14,23,32,0
2019,7,25,14,23,33,1
2019,7,25,14,23,34,2
2019,7,25,14,23,35,1
2019,7,25,14,23,36,1
2019,7,25,14,23,37,1
2019,7,25,14,23,38,0
2019,7,25,14,23,39,0
2019,7,25,14,23,40,2
2019,7,25,14,23,41,0
2019,7,25,14,23,42,0
2019,7,25,14,23,43,0
2019,7,25,14,23,44,0
2019,7,25,14,23,45,1
2019,7,25,14,23,46,1
2019,7,25,14,23,47,1
2019,7,25,14,23,48,0
2019,7,25,14,23,49,0
2019,7,25,14,23,50,0
2019,7,25,14,23,51,0
2019,7,25,14,23,52,0
2019,7,25,14,23,53,0
2019,7,25,14,23,54,0
2019,7,25,14,23,55,0
2019,7,25,14,23,56,0
2019,7,25,14,23,57,0
2019,7,25,14,23,58,0
2019,7,25,14,23,59,0
2019,7,25,14,24,0,0
2019,7,25,14,24,1,0
2019,7,25,14,24,2,0
2019,7,25,14,24,3,0
2019,7,25,14,24,4,0
2019,7,25,14,24,5,0
2019,7,25,14,24,6,0
2019,7,25,14,24,7,0
2019,7,25,14,24,8,0
2019,7,25,14,24,9,0
2019,7,25,14,24,10,0
2019,7,25,14,24,11,0
2019,7,25,14,24,12,0
2019,7,25,14,24,13,0
2019,7,25,14,24,14,0
2019,7,25,14,24,15,0
2019,7,25,14,24,16,0
2019,7,25,14,24,17,0
2019,7,25,14,24,18,0
2019,7,25,14,24,19,0
2019,7,25,14,24,20,0
2019,7,25,14,24,21,0
2019,7,25,14,24,22,0
2019,7,25,14,24,23,0
2019,7,25,14,24,24,0
2019,7,25,14,24,25,0
2019,7,25,14,24,26,0
2019,7,25,14,24,27,0
2019,7,25,14,24,28,0
2019,7,25,14,24,29,0
2019,7,25,14,24,30,0
2019,7,25,14,24,31,0
2019,7,25,14,24,32,0
2019,7,25,14,24,33,0
2019,7,25,14,24,34,0
2019,7,25,14,24,35,0
2019,7,25,14,24,35,0
2019,7,25,14,24,36,0
2019,7,25,14,24,37,0
2019,7,25,14,24,38,0
2019,7,25,14,24,39,0
